title,author,isbn,call_number,call_prefix,subjects,summary,series,reading_level
Fire in the hills,"Napoli, Donna Jo 1948-",0525477519,F Nap,FIC,"World War, 1939-1945 -- Fiction. -- Italy | World War, 1939-1945 -- Fiction. -- Underground movements -- Italy | Survival after airplane accidents, shipwrecks, etc. -- Fiction.","Upon returning to Italy, fourteen-year-old Roberto struggles to survive, first on his own, then as a member of the resistance, fighting against the Nazi occupiers while yearning to reach home safely and for an end to the war.",,Young Adult
What Jamie saw,"Coman, Carolyn",1886910022,F Com,FIC,Child abuse -- Fiction. | Large print books,"Having fled to a family friend's hillside trailer after his mother's boyfriend tried to throw his baby sister against a wall, nine-year-old Jamie finds himself living an existence full of uncertainty and fear.",,6.0
Larklight  or The revenge of the white spiders! or To Saturn's rings and back! : a rousing tale of dauntless pluck in the farthest reaches of space,"Reeve, Philip",9781599900209,F Ree,FIC,Spiders -- Fiction. | Extraterrestrial beings | Science fiction | Siblings -- Fiction.,"In an alternate Victorian England, young Arthur and his sister Myrtle, residents of Larklight, a floating house in one of Her Majesty's outer space territories, uncover a spidery plot to destroy the solar system.",,8.2
Operation typhoon shore,"Mowll, Joshua",9780763631222 (alk. paper),F Mow,FIC,Adventure fiction | Siblings -- Fiction. | Uncles -- Fiction. | Ships -- Fiction. | Secret societies -- Fiction.,"In the spring of 1920, teenaged siblings Rebecca and Doug MacKenzie continue their adventures on their uncle's ship, sailing through a typhoon into the Celebes Sea in pursuit of a missing ""gyrolabe"" which may be connected to the disappearance of their parents.",Guild of Specialists,6.1
An abundance of Katherines,"Green, John 1977-",0525476881,F Gre,FIC,Man-woman relationship -- Fiction. | Interpersonal relations -- Fiction. | Self-perception -- Fiction. | Mathematics -- Fiction,"Having been recently dumped for the nineteenth time by a girl named Katherine, recent high school graduate and former child prodigy Colin sets off on a road trip with his best friend to try to find some new direction in life while also trying to create a mathematical formula to explain his relationships.",,890
A drowned maiden's hair  a melodrama,"Schlitz, Laura Amy",0763629308,F Sch,FIC,Orphanages -- Fiction. -- History | Adoption -- Fiction. | Parapsychology -- Fiction. -- History | Historical fiction,"In the early twentieth century, young orphan Maud Flynn hopes to finally be loved when she is adopted by the elderly Hawthorne sisters, but she is instead roped into the family's crooked séance business.",,690
River secrets,"Hale, Shannon",1582349010,F Hal,FIC,Diplomacy -- Fiction. | Spy stories | Self-esteem -- Fiction. | Human influence on nature -- Fiction. | Fairy tales,"Young Razo travels from Bayern to Tira at war's end as part of a diplomatic corps, but mysterious events in the Tiran capital fuel simmering suspicions and anger, and Razo must spy out who is responsible before it is too late and he becomes trapped in an enemy land.",,860
The rules of survival,"Werlin, Nancy",0803730012,F Wer,FIC,Child abuse -- Fiction. | Siblings -- Fiction. | Emotional problems -- Fiction. | Emotionally disturbed children -- Fiction.,"Seventeen-year-old Matthew recounts his attempts, starting at a young age, to free himself and his sisters from the grip of their emotionally and physically abusive mother.",,660
The bomb,"Taylor, Theodore 1921-2006",0152008675,F Tay,FIC,Atomic bomb -- Fiction. -- Testing,"In 1944, when the Americans liberate the Bikini Atoll from the Japanese, fourteen-year-old Sorry Rinamu does not realize that the next year he will lead a desperate effort to save his island home from a much more deadly threat.",,5.6
The Pox party,"Anderson, M. T.",0763624020,F And,FIC,Freedom -- Fiction. | Slavery -- Fiction. | Science -- Fiction. -- Experiments | African Americans -- Fiction.,"Various diaries, letters, and other manuscripts chronicle the experiences of Octavian, a young African American, from birth to age sixteen, as he is brought up as part of a science experiment in the years leading up to and during the Revolutionary War.","The astonishing life of Octavian Nothing, traitor to the nation",1090
Anne's house of dreams,"Montgomery, L. M. (Lucy Maud) 1874-1942",0553213180,F Mon,FIC,Friendship -- Fiction. | Country life -- Fiction. -- Prince Edward Island | Marriage -- Fiction.,"Anne, now married to a doctor, lives in her dream house, meets new neighbors, makes new friends, and solves new problems.",Anne of Green Gables,930
The burning bridge,"Flanagan, John (John Anthony)",0399244557,F Fla,FIC,Heroes and heroines -- Fiction. | Battles -- Fiction | Fantasy fiction,Will and his friend Horace are chosen by the Rangers to do battle with the evil warlord Morgarath; but Morgarath and his legions make it over the once impassible eastern mountains with plans to to ambush the king's army.,Ranger's apprentice,870
Everlost,"Shusterman, Neal",0689872372,F Shu,FIC,Traffic accidents -- Fiction. | Death -- Fiction. | Future life -- Fiction. | Spirits -- Fiction.,"When Nick and Allie are killed in a car crash, they end up in Everlost, or limbo for lost souls, where, although Nick is satisfied, Allie will stop at nothing -- even skinjacking -- to break free.",,Young Adult
Heartbeat,"Creech, Sharon",0060540249,F Cre,FIC,Friendship -- Fiction. | Running -- Fiction. | Pregnancy -- Fiction. | Grandfathers -- Fiction.,"Twelve-year-old Annie ponders the many rhythms of life the year that her mother becomes pregnant, her grandfather begins faltering, and her best friend (and running partner) becomes distant.",,NP
The Ragwitch,"Nix, Garth",0060508078,F Nix,FIC,Magic -- Fiction. | Witches -- Fiction. | Good and evil -- Fiction. | Fantasy fiction,"When his sister Julia falls under the spell of the evil Ragwitch and her minions, Paul must journey across time to a distant dimension and rally the forces of good to rescue Julia and save the magical kingdom of Yendre.",,1020
Hattie Big Sky,"Larson, Kirby",0385733135,F Lar,FIC,"Self-reliance -- Fiction. | Frontier and pioneer life -- Fiction. | Orphans -- Fiction. | World War, 1914-1918 -- Fiction. -- United States | Historical fiction","After inheriting her uncle's homesteading claim in Montana, sixteen-year-old orphan Hattie Brooks travels from Iowa in 1917 to make a home for herself and encounters some unexpected problems related to the war being fought in Europe.",,Young Adult
The higher power of Lucky,"Patron, Susan 1948-",9781416901945,F Pat,FIC,Abandoned children -- Fiction. | Interpersonal relations -- Fiction. | Runaway children -- Fiction.,"Fearing that her legal guardian plans to abandon her to return to France, ten-year-old aspiring scientist Lucky Trimble determines to run away while also continuing to seek the Higher Power that will bring stability to her life.",,1010
Bollywood babes,"Dhami, Narinder",0440420202,F Dha,FIC,Sisters -- Fiction. | Actors -- Fiction. | Indians -- Fiction. | Humorous fiction,The Indian-British Dhillon sisters open their home to a down-on-her-luck former movie star from India and employ her talents to raise money for their school.,,4.6
Cyrano,"McCaughrean, Geraldine",0152058052,F McC,FIC,Love stories | Poets -- Fiction. | Soldiers -- Fiction.,"Ashamed of his ugliness, long-nosed Cyrano de Bergerac, a brilliant seventeenth-century poet and expert swordsman in the French army, helps a rival woo and win Roxane, the beautiful cousin Cyrano loves in silence.",,830
Secrets of my Hollywood life,"Calonita, Jen",9780316154437,F Cal,FIC,Actors -- Fiction. | Individuality -- Fiction | High schools -- Fiction | School stories,"Longing to experience the life of a ""normal"" teenager, sixteen-year-old actress Kaitlin Burke assumes a false identity to attend a local high school.",,Young Adult
Street love,"Myers, Walter Dean 1937-",9780060280802,F Mye,FIC,African Americans -- Fiction. | Love stories,This story told in free verse is set against a background of street gangs and poverty in Harlem in which seventeen-year-old African American Damien takes a bold step to ensure that he and his new love will not be separated.,,Young Adult
Thieves like us,"Cole, Stephen 1971-",1582346534,F Col,FIC,Teenagers -- Fiction. | Interpersonal relations -- Fiction.,"A mysterious benefactor hand-picks a group of teen geniuses to follow a set of clues leading to the secrets of everlasting life, secrets which they must steal and for which they risk being killed.",,5.3
The eternal flame,"Barron, T. A.",0399242139,F Bar,FIC,Magic -- Fiction. | Avalon (Legendary place) -- Fiction. | Wizards -- Fiction | Fantasy fiction,"In order to stop Rhita Gawr from destroying Avalon, Merlin's grandson, Tamwyn, and his friends, Elli and Scree, engage in battles with the warlord and his army of warriors underground, on Earth, and in the sky.",Great tree of Avalon,Young Adult
Hiroshima  a novella,"Yep, Laurence 1948-",0590208322 (lib. bdg.),F Yep,FIC,Atomic bomb -- Fiction. -- History,"Describes the dropping of the atomic bomb on Hiroshima, Japan, particularly as it affects Sachi, who becomes one of the Hiroshima Maidens.",,660
Wind rider,"Williams, Susan 1946-",0060872373,F Wil,FIC,Communication -- Fiction. | Horses -- Fiction. | Gender role -- Fiction. | Prehistoric peoples -- Fiction.,"Fern, a teenager living in 4000 B.C., defies the expectations of her people by displaying a unique and new ability to tame horses and by also questioning many of the traditional activities of women.",,5.6
Pigboy,"Grant, Vicki",1551436434,F Gra,FIC,Field trips -- Fiction. | Farms -- Fiction. | Adventure fiction,Dan Hogg's school trip to a heritage farm -- where taunts about his last name are funny to everyone but him -- goes from miserable to dangerous when an escaped convict appears.,Orca currents,3.7
The mysterious Benedict Society,"Stewart, Trenton Lee",9780316057776,F,FIC,Adventure fiction | School stories | Science fiction,"After passing a series of mind-bending tests, four children are selected for a secret mission that requires them to go undercover at the Learning Institute for the Very Enlightened, where the only rule is that there are no rules.",,3-6
The Secret Order of the Gumm Street Girls,"Primavera, Elise",0060569468,F Pri,FIC,Girls -- Fiction. | Wizard of Oz (Fictitious character) -- Fiction | Fantasy fiction,"In order to save the town of Sherbet, four girls with very little in common become involved with some people and events that seem to bear a resemblance to ""The Wizard of Oz.""",,5.3
Firehorse,"Wilson, Diane L.",1416915516,F Wil,FIC,Veterinary medicine -- Fiction. | Gender role -- Fiction. | Horses -- Fiction. | Arson -- Fiction. | Family life -- Fiction. -- Massachusetts | Historical fiction,"While Boston is home to a serial arsonist and an epidemic spreads through the firehorse population in 1872, fifteen-year-old Rachel Selby, a spirited horse lover, decides to pursue a career as a veterinarian, despite opposition from her rigid father, mother, and the norms of society.",,Young Adult
Foundation,"Asimov, Isaac 1920-1992",0553803719,F Asi,FIC,"Seldon, Hari (Fictional character) -- Fiction. | Life on other planets -- Fiction. | History -- Fiction. -- Psychological aspects | Psychological fiction | Science fiction","As the Galactic Empire declines, psychohistorian Hari Seldon and his band of psychobiologists form the Foundation, designed to be the nucleus of an eventual ideal universal ruling corporation.",Foundation,830
The house with no name,"Goodhart, Pippa",1598891030,F Goo,FIC,Ghost stories | Houses -- Fiction. | Moving -- Fiction,"When his family moves to a remote house in the woods that has stood empty for years, Jamie feels there is something very strange about the place, but soon makes friends with Colin who has lived nearby for years and years.",Pathway books,450
